national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
4.0,9.0,0.0,43.0,67.0,115.0,5.0,22.0,40.0,58.0,4.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
0.0,8.0,0.0,6.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
33.0,8.0,24.0,37.0,51.0,86.0,18.0,40.0,94.0,132.0,27.0,0,0.0,0.79,0.66,0.0,0,0,0,1,0,1
-1.0,0.0,0.0,26.0,36.0,51.0,8.0,18.0,42.0,52.0,1.0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
0.0,10.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0,0.0,0.89,0.9,0.0,0,0,0,1,0,1
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
3.0,3.0,0.0,167.0,257.0,347.0,32.0,97.0,176.0,181.0,40.0,0,0.0,0.42,0.46,0.0,0,0,0,1,0,1
5.0,8.0,0.0,50.0,50.0,100.0,5.0,30.0,44.0,62.0,0.0,0,0.0,0.96,0.93,0.0,0,0,0,1,0,1
2.0,8.0,0.0,4.0,6.0,9.0,1.0,5.0,6.0,9.0,2.0,0,0.0,1.0,0.95,0.0,0,0,0,1,0,1
6.0,2.0,0.0,28.0,52.0,76.0,7.0,12.0,14.0,14.0,5.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
-7.0,8.0,0.0,56.0,96.0,112.0,13.0,30.0,56.0,76.0,0.0,0,0.0,0.97,0.92,7.0,0,0,0,1,0,1
1.0,2.0,0.0,3.0,5.0,7.0,1.0,2.0,7.0,8.0,0.0,0,0.0,0.77,0.82,0.0,0,0,0,1,0,1
1.0,8.0,0.0,2.0,4.0,6.0,0.0,2.0,3.0,4.0,0.0,0,0.0,0.79,0.66,0.0,0,0,0,1,0,1
4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,1.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
2.0,2.0,0.0,2.0,6.0,8.0,1.0,3.0,6.0,12.0,0.0,0,0.0,0.99,0.81,0.0,0,0,0,1,0,1
112.0,2.0,0.0,0.0,0.0,0.0,13.0,513.0,513.0,513.0,0.0,0,0.0,0.86,0.79,0.0,1,0,0,1,0,1
3.0,8.0,0.0,42.0,85.0,107.0,17.0,30.0,53.0,88.0,10.0,0,0.0,0.15,0.34,0.0,0,0,0,1,0,1
2.0,8.0,0.0,5.0,9.0,13.0,1.0,5.0,8.0,11.0,0.0,0,0.0,0.84,0.48,0.0,0,0,1,1,0,1
12.0,8.0,1.0,165.0,294.0,412.0,32.0,131.0,256.0,373.0,47.0,0,0.0,0.87,0.89,0.0,0,0,0,1,0,1
12.0,8.0,0.0,30.0,30.0,30.0,1.0,1.0,4.0,16.0,0.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,1
0.0,2.0,0.0,4.0,6.0,8.0,2.0,2.0,5.0,11.0,0.0,0,0.0,0.6,0.6,0.0,0,0,0,1,0,1
2.0,8.0,0.0,10.0,17.0,24.0,0.0,9.0,12.0,19.0,0.0,0,0.0,0.2,0.16,0.0,0,0,0,1,0,1
7.0,2.0,0.0,5.0,10.0,15.0,2.0,6.0,15.0,22.0,0.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,1
0.0,2.0,0.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.69,0.68,0.0,1,0,0,1,0,1
42.0,9.0,0.0,0.0,48.0,96.0,7.0,29.0,46.0,91.0,14.0,0,0.0,1.0,0.95,0.0,0,0,0,1,0,1
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.79,0.8,0.0,0,0,0,1,0,1
1.0,8.0,0.0,2.0,4.0,5.0,1.0,2.0,3.0,6.0,0.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
35.0,2.0,0.0,6.0,18.0,18.0,6.0,10.0,10.0,10.0,0.0,0,0.0,1.0,1.0,0.0,1,0,0,1,0,1
0.0,12.0,0.0,1040.0,1280.0,1640.0,111.0,443.0,1035.0,1717.0,150.0,0,0.0,0.77,0.78,20.0,0,0,0,1,0,1
0.0,12.0,0.0,5.0,6.0,9.0,0.0,4.0,5.0,6.0,3.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
0.0,2.0,0.0,40.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.26,0.32,0.0,0,0,0,1,0,1
0.0,2.0,0.0,54.0,72.0,72.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.67,0.61,0.0,0,0,1,1,0,1
5.0,8.0,0.0,25.0,50.0,75.0,8.0,26.0,39.0,55.0,0.0,0,0.0,0.98,0.98,0.0,0,0,0,1,0,1
8.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,8.0,0.0,0,0.0,0.56,0.56,0.0,1,0,0,1,0,1
2.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.82,0.89,0.0,0,0,0,1,0,1
87.0,2.0,0.0,18.0,72.0,108.0,16.0,98.0,173.0,241.0,48.0,0,0.0,0.77,0.74,0.0,0,0,0,1,0,1
1.0,8.0,0.0,3.0,5.0,6.0,1.0,2.0,4.0,6.0,0.0,0,0.0,0.76,0.85,0.0,0,0,0,1,0,1
1.0,8.0,0.0,3.0,6.0,9.0,2.0,4.0,8.0,10.0,0.0,0,0.0,0.72,0.75,0.0,0,0,0,1,0,1
7.0,2.0,0.0,9.0,24.0,42.0,7.0,16.0,28.0,32.0,3.0,0,0.0,0.37,0.42,0.0,0,0,0,1,0,1
14.0,8.0,0.0,112.0,112.0,212.0,45.0,66.0,112.0,153.0,21.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
0.0,12.0,0.0,4.0,7.0,9.0,1.0,3.0,4.0,7.0,0.0,0,0.0,0.82,0.79,0.0,0,0,0,1,0,1
-372.0,5.0,5.0,2416.0,3766.0,4866.0,545.0,1302.0,2190.0,3447.0,250.0,0,100.0,0.69,0.68,412.0,0,0,0,1,0,1
1.0,8.0,0.0,3.0,4.0,4.0,1.0,3.0,4.0,8.0,0.0,0,0.0,0.79,0.66,0.0,0,0,0,1,0,1
0.0,2.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.1,0.13,0.0,0,0,0,1,0,1
15.0,4.0,7.0,7.0,21.0,28.0,0.0,9.0,10.0,18.0,5.0,0,0.0,0.79,0.66,0.0,0,0,0,1,0,1
15.0,2.0,0.0,12.0,24.0,36.0,0.0,9.0,16.0,19.0,5.0,0,0.0,1.0,0.95,0.0,0,0,0,1,0,1
4.0,3.0,0.0,0.0,3.0,3.0,3.0,6.0,12.0,18.0,0.0,0,0.0,0.89,0.9,0.0,0,0,0,1,0,1
3.0,8.0,0.0,26.0,40.0,54.0,4.0,11.0,16.0,25.0,1.0,0,0.0,0.94,0.96,0.0,0,0,1,1,0,1
0.0,2.0,3.0,3.0,6.0,10.0,0.0,5.0,10.0,11.0,0.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
0.0,4.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.69,0.68,0.0,1,0,1,1,0,1
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0.93,0.91,0.0,0,0,0,1,0,1
9.0,8.0,0.0,40.0,60.0,100.0,18.0,36.0,58.0,102.0,8.0,0,0.0,0.98,0.97,0.0,0,0,0,1,0,1
1.0,2.0,1.0,3.0,6.0,8.0,1.0,2.0,2.0,2.0,0.0,0,0.0,0.82,0.87,0.0,0,0,1,1,0,1
1.0,12.0,0.0,1.0,3.0,4.0,4.0,5.0,10.0,16.0,1.0,0,0.0,0.81,0.83,0.0,0,0,0,1,0,1
0.0,8.0,0.0,25.0,25.0,37.0,40.0,45.0,50.0,84.0,0.0,0,0.0,0.92,0.96,0.0,0,0,0,1,0,1
0.0,12.0,0.0,7.0,9.0,11.0,3.0,4.0,6.0,8.0,0.0,0,0.0,0.82,0.79,0.0,1,0,0,1,0,1
0.0,8.0,0.0,7.0,11.0,15.0,2.0,6.0,12.0,16.0,0.0,0,0.0,0.99,0.93,0.0,0,0,0,1,0,1
2.0,8.0,0.0,2.0,5.0,7.0,2.0,4.0,4.0,8.0,0.0,0,0.0,1.0,0.97,0.0,0,0,0,1,0,1
2.0,3.0,0.0,10.0,15.0,20.0,4.0,10.0,15.0,23.0,0.0,0,0.0,0.89,0.9,0.0,0,0,0,1,0,1
34.0,9.0,0.0,0.0,10.0,20.0,2.0,9.0,20.0,44.0,1.0,0,0.0,1.0,0.95,0.0,0,0,0,1,0,1
4.0,12.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,10.0,15.0,0,0.0,0.59,0.59,0.0,1,0,0,1,0,1
7.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0,0.0,1.0,0.98,0.0,0,0,0,1,0,1
0.0,9.0,0.0,9711.0,17237.0,19958.0,0.0,0.0,0.0,0.0,675.0,0,0.0,0.49,0.72,0.0,1,0,1,1,0,1
0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,0,0.0,0.69,0.68,0.0,0,0,1,1,0,1
1.0,8.0,1.0,104.0,104.0,104.0,2.0,6.0,17.0,18.0,15.0,0,0.0,0.96,0.98,0.0,0,0,1,1,0,1
100.0,8.0,0.0,500.0,750.0,750.0,175.0,302.0,497.0,832.0,0.0,0,0.0,0.64,0.8,0.0,0,0,0,1,0,1
2.0,8.0,0.0,1.0,2.0,4.0,1.0,2.0,9.0,11.0,1.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
-1.0,2.0,0.0,28.0,42.0,42.0,13.0,16.0,24.0,35.0,10.0,0,0.0,0.99,0.9,1.0,0,0,0,1,0,1
0.0,2.0,0.0,6.0,12.0,15.0,2.0,9.0,13.0,18.0,0.0,0,0.0,0.98,0.95,0.0,0,0,0,1,0,1
1.0,8.0,0.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,1
8.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.59,0.59,0.0,1,0,1,1,0,1
7.0,2.0,0.0,0.0,0.0,50.0,1.0,4.0,5.0,5.0,1.0,0,0.0,0.79,0.85,0.0,0,0,0,1,0,1
1.0,2.0,0.0,72.0,144.0,228.0,6.0,12.0,13.0,13.0,0.0,0,8.0,0.87,0.68,0.0,1,0,0,1,0,1
5.0,3.0,0.0,5.0,8.0,8.0,4.0,4.0,4.0,4.0,0.0,0,0.0,0.5,0.39,0.0,1,0,1,1,0,1
0.0,2.0,0.0,352.0,442.0,442.0,0.0,0.0,2.0,2.0,62.0,0,0.0,0.88,0.74,0.0,0,0,0,1,0,1
0.0,2.0,0.0,1200.0,2112.0,2864.0,0.0,0.0,0.0,0.0,136.0,0,0.0,0.92,0.79,0.0,0,0,1,0,0,1
0.0,2.0,0.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.46,0.35,0.0,0,0,1,1,0,1
9.0,2.0,0.0,24.0,48.0,72.0,4.0,22.0,56.0,78.0,2.0,0,0.0,0.98,0.82,0.0,0,0,0,1,0,1
10.0,2.0,0.0,8.0,28.0,51.0,6.0,27.0,71.0,82.0,0.0,0,0.0,0.97,0.8,0.0,0,0,0,1,0,1
1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.91,0.93,0.0,0,0,0,1,0,1
0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,1,1,0,1
1.0,8.0,0.0,10.0,10.0,10.0,2.0,10.0,17.0,20.0,2.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,1
-30.0,8.0,0.0,360.0,360.0,540.0,0.0,110.0,398.0,773.0,125.0,0,0.0,0.15,0.15,30.0,0,0,0,1,0,1
6.0,8.0,0.0,24.0,48.0,72.0,9.0,34.0,59.0,73.0,6.0,0,0.0,0.97,0.94,0.0,0,0,0,1,0,1
2.0,12.0,0.0,10.0,10.0,10.0,0.0,0.0,2.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
2.0,8.0,0.0,8.0,19.0,26.0,4.0,7.0,15.0,21.0,2.0,0,0.0,0.99,0.97,0.0,0,0,0,1,0,1
39.0,2.0,0.0,0.0,0.0,0.0,62.0,196.0,282.0,328.0,67.0,0,0.0,1.0,0.99,0.0,0,0,0,1,0,1
2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
5.0,4.0,1.0,35.0,73.0,107.0,13.0,33.0,70.0,75.0,0.0,0,0.0,0.84,0.9,0.0,0,0,0,1,0,1
11.0,4.0,0.0,0.0,0.0,0.0,7.0,12.0,44.0,44.0,0.0,0,0.0,0.79,0.66,0.0,1,0,1,1,0,1
0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,1,1,0,1
4.0,8.0,0.0,4.0,12.0,16.0,6.0,12.0,15.0,15.0,0.0,0,0.0,0.61,0.62,0.0,0,0,1,1,0,1
0.0,8.0,0.0,3.0,5.0,7.0,0.0,2.0,4.0,5.0,1.0,0,0.0,0.84,0.78,0.0,0,0,1,1,0,1
3.0,12.0,0.0,4.0,10.0,12.0,2.0,5.0,15.0,21.0,0.0,0,0.0,0.64,0.69,0.0,0,0,0,1,0,1
2.0,8.0,0.0,25.0,45.0,63.0,7.0,26.0,47.0,64.0,0.0,0,4.0,0.48,0.53,0.0,0,0,0,1,0,1
11.0,2.0,0.0,6.0,12.0,18.0,4.0,19.0,25.0,30.0,0.0,0,0.0,0.31,0.34,0.0,1,0,0,1,0,1
0.0,12.0,0.0,163.0,197.0,231.0,0.0,52.0,112.0,162.0,0.0,0,0.0,0.73,0.69,0.0,0,0,0,1,0,1
4.0,8.0,1.0,20.0,30.0,42.0,9.0,19.0,40.0,60.0,10.0,0,2.0,0.24,0.47,0.0,0,0,0,1,0,1
2.0,8.0,3.0,9.0,15.0,21.0,3.0,11.0,16.0,28.0,6.0,0,0.0,1.0,0.99,0.0,0,0,0,1,0,1
96.0,8.0,5.0,290.0,514.0,668.0,45.0,197.0,465.0,791.0,89.0,0,18.0,0.23,0.23,0.0,0,0,0,1,0,1
11.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
12.0,2.0,0.0,24.0,72.0,96.0,6.0,22.0,39.0,55.0,4.0,0,0.0,0.46,0.35,0.0,0,0,0,1,0,1
2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,0.0,0,0.0,0.98,0.95,0.0,1,0,0,1,0,1
0.0,9.0,0.0,12.0,12.0,12.0,0.0,0.0,2.0,6.0,1.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
6.0,8.0,7.0,14.0,29.0,44.0,14.0,26.0,50.0,66.0,4.0,0,0.0,0.51,0.41,0.0,0,0,0,1,0,1
0.0,2.0,0.0,11.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.7,0.75,0.0,0,0,1,1,0,1
7.0,2.0,0.0,6.0,12.0,20.0,2.0,6.0,27.0,48.0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,1,0,1
1.0,8.0,0.0,4.0,5.0,6.0,2.0,4.0,6.0,9.0,0.0,0,0.0,0.15,0.34,0.0,0,0,0,1,0,1
0.0,9.0,0.0,3.0,4.0,5.0,0.0,2.0,2.0,2.0,0.0,0,0.0,1.0,0.99,0.0,0,0,0,1,0,1
9.0,8.0,0.0,65.0,65.0,65.0,36.0,114.0,173.0,202.0,62.0,0,0.0,0.98,0.97,0.0,0,0,0,1,0,1
45.0,8.0,1.0,147.0,266.0,387.0,31.0,105.0,219.0,354.0,80.0,1,9.0,0.87,0.89,0.0,0,0,1,1,0,1
1.0,8.0,0.0,48.0,72.0,120.0,12.0,26.0,56.0,76.0,0.0,0,0.0,0.98,0.88,0.0,0,0,0,1,0,1
9.0,8.0,0.0,6.0,12.0,18.0,2.0,6.0,12.0,16.0,0.0,0,0.0,0.95,0.9,0.0,0,0,0,1,0,1
0.0,8.0,0.0,70.0,100.0,100.0,0.0,0.0,0.0,0.0,13.0,0,0.0,0.81,0.88,0.0,0,0,1,1,0,1
1.0,3.0,0.0,3.0,5.0,9.0,1.0,3.0,5.0,8.0,0.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
0.0,2.0,0.0,11.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.64,0.67,0.0,1,0,1,1,0,1
0.0,3.0,0.0,26.0,39.0,52.0,9.0,23.0,40.0,53.0,0.0,0,0.0,0.5,0.39,0.0,0,0,0,1,0,1
1.0,12.0,0.0,29.0,60.0,80.0,5.0,36.0,53.0,97.0,10.0,0,0.0,0.83,0.75,0.0,0,0,0,1,0,1
0.0,12.0,7.0,480.0,768.0,1008.0,252.0,423.0,649.0,916.0,73.0,0,0.0,0.98,0.96,52.0,0,0,0,1,0,1
10.0,2.0,6.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.37,0.42,0.0,0,0,0,1,0,1
0.0,2.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12,0.12,0.0,1,0,0,1,0,1
1.0,9.0,5.0,17.0,25.0,32.0,2.0,6.0,6.0,6.0,0.0,0,0.0,0.91,0.74,0.0,1,0,0,1,0,1
150.0,8.0,0.0,325.0,625.0,1225.0,196.0,438.0,949.0,1243.0,0.0,0,0.0,0.99,0.93,0.0,0,0,0,1,0,1
0.0,4.0,0.0,12.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.78,0.0,1,0,1,1,0,1
8.0,8.0,0.0,43.0,49.0,82.0,8.0,30.0,59.0,85.0,7.0,0,0.0,0.15,0.34,0.0,0,0,0,1,0,1
0.0,12.0,0.0,5.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.62,0.73,0.0,1,0,0,1,0,1
0.0,9.0,0.0,9.0,10.0,12.0,1.0,4.0,6.0,10.0,0.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
-3.0,4.0,0.0,29.0,40.0,51.0,7.0,13.0,19.0,19.0,0.0,0,0.0,0.79,0.66,3.0,1,0,0,1,0,1
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.73,0.69,0.0,0,0,0,1,0,1
3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.99,0.99,0.0,1,0,0,0,0,1
3.0,3.0,0.0,16.0,16.0,16.0,1.0,3.0,6.0,7.0,0.0,0,0.0,0.98,0.99,0.0,0,0,0,1,0,1
-1.0,52.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,23.0,1.0,0,0.0,0.91,0.9,1.0,1,0,1,0,0,1
11.0,8.0,6.0,49.0,93.0,137.0,9.0,89.0,173.0,234.0,13.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
-3.0,16.0,0.0,13.0,28.0,28.0,4.0,11.0,14.0,20.0,2.0,0,0.0,0.61,0.62,3.0,1,0,1,1,0,1
0.0,8.0,0.0,3.0,7.0,16.0,5.0,15.0,25.0,31.0,1.0,0,0.0,0.98,0.98,0.0,0,0,0,1,0,1
-3.0,12.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,0,0.0,0.62,0.73,3.0,0,0,0,1,0,1
10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.09,0.0,1,0,1,1,0,1
0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.31,0.34,0.0,1,0,0,1,0,1
3.0,8.0,0.0,16.0,16.0,16.0,1.0,5.0,10.0,17.0,2.0,0,0.0,0.06,0.5,0.0,0,0,0,1,0,1
0.0,12.0,0.0,10.0,16.0,22.0,1.0,5.0,11.0,14.0,0.0,0,0.0,0.62,0.73,0.0,0,0,0,1,0,1
0.0,2.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.33,0.25,0.0,1,0,1,1,0,1
1.0,12.0,0.0,5.0,8.0,11.0,4.0,5.0,9.0,14.0,0.0,0,0.0,0.82,0.79,0.0,0,0,1,1,0,1
2.0,9.0,0.0,20.0,40.0,60.0,3.0,13.0,23.0,25.0,3.0,0,0.0,0.96,0.92,0.0,0,0,1,1,0,1
44.0,0.0,1.0,177.0,292.0,410.0,65.0,152.0,250.0,309.0,62.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
5.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0,0.0,1.0,0.99,0.0,0,0,0,1,0,1
